Hora_local;Dia_ano;Irradiancia_teorica;Irradiancia_ajustada;Temperatura;P_pv_inst;E_total;E_pv;E_grid;CO2
11:18;52;969.07;347.533;28;0.689467;2;0.689467;1.31053;131.053
11:20;52;970.592;348.079;28;0.69055;0.5;0.172638;0.327362;32.7362
11:24;52;973.417;349.092;28;0.69256;0.5;0.17314;0.32686;32.686
11:26;52;974.719;349.558;28;0.693486;0.0333333;0.0115581;0.0217752;2.17752
11:27;52;975.342;349.782;28;0.693929;0.0333333;0.0115655;0.0217678;2.17678
11:27;52;975.342;349.782;28;0.693929;0.0333333;0.0115655;0.0217678;2.17678
11:28;52;975.947;349.999;28;0.694359;0.0333333;0.0115727;0.0217607;2.17607
11:29;52;976.533;350.209;28;0.694777;0.0333333;0.0115796;0.0217537;2.17537
11:30;52;977.1;350.413;28.2;0.694491;0.0333333;0.0115748;0.0217585;2.17585
11:31;52;977.65;350.61;28.2;0.694881;0.0333333;0.0115814;0.021752;2.1752
11:32;52;978.18;350.8;28.2;0.695259;0.0333333;0.0115876;0.0217457;2.17457
11:33;52;978.692;350.984;28.2;0.695623;0.0333333;0.0115937;0.0217396;2.17396
11:34;52;979.186;351.161;28.2;0.695973;0.0333333;0.0115996;0.0217338;2.17338
11:35;52;979.661;351.331;28.2;0.696311;0.0333333;0.0116052;0.0217281;2.17281
11:36;52;980.118;351.495;28.2;0.696635;0.0333333;0.0116106;0.0217227;2.17227
11:37;52;980.556;351.652;28.2;0.696947;0.0333333;0.0116158;0.0217176;2.17176
11:38;52;980.975;351.802;28.2;0.697245;0.0333333;0.0116207;0.0217126;2.17126
11:39;52;981.376;351.946;28.2;0.69753;0.0333333;0.0116255;0.0217078;2.17078
11:40;52;981.758;352.083;28.2;0.697801;0.0333333;0.01163;0.0217033;2.17033
11:41;52;982.121;352.213;28.2;0.69806;0.0333333;0.0116343;0.021699;2.1699
11:42;52;982.466;352.337;28.2;0.698305;0.0333333;0.0116384;0.0216949;2.16949
11:43;52;982.793;352.454;28.2;0.698537;0.0333333;0.0116423;0.0216911;2.16911
11:43;52;982.793;352.454;28.2;0.698537;0.0333333;0.0116423;0.0216911;2.16911
11:44;52;983.101;352.564;28.2;0.698756;0.0333333;0.0116459;0.0216874;2.16874
11:45;52;983.39;352.668;28.4;0.698212;0.0333333;0.0116369;0.0216965;2.16965
11:46;52;983.66;352.765;28.4;0.698404;0.0333333;0.0116401;0.0216933;2.16933
11:47;52;983.912;352.855;28.4;0.698583;0.0333333;0.011643;0.0216903;2.16903
11:48;52;984.145;352.939;28.4;0.698748;0.0333333;0.0116458;0.0216875;2.16875
11:49;52;984.36;353.016;28.4;0.698901;0.0333333;0.0116483;0.021685;2.1685
11:50;52;984.556;353.086;28.4;0.69904;0.0333333;0.0116507;0.0216827;2.16827
11:51;52;984.733;353.15;28.4;0.699166;0.0333333;0.0116528;0.0216806;2.16806
11:52;52;984.892;353.207;28.4;0.699278;0.0333333;0.0116546;0.0216787;2.16787
11:53;52;985.032;353.257;28.4;0.699378;0.0333333;0.0116563;0.021677;2.1677
11:54;52;985.153;353.301;28.4;0.699464;0.0333333;0.0116577;0.0216756;2.16756
11:55;52;985.256;353.337;28.4;0.699537;0.0333333;0.0116589;0.0216744;2.16744
11:56;52;985.34;353.367;28.4;0.699596;0.0333333;0.0116599;0.0216734;2.16734
11:57;52;985.405;353.391;28.4;0.699643;0.0333333;0.0116607;0.0216726;2.16726
11:58;52;985.452;353.408;28.4;0.699676;0.0333333;0.0116613;0.0216721;2.16721
11:59;52;985.48;353.418;28.4;0.699696;0.0333333;0.0116616;0.0216717;2.16717
11:59;52;985.48;353.418;28.4;0.699696;0.0333333;0.0116616;0.0216717;2.16717
12:0;52;985.489;318.313;28.5;0.629807;0.0333333;0.0104968;0.0228365;2.28365
12:1;52;985.48;318.31;28.5;0.629801;0.0333333;0.0104967;0.0228366;2.28366
12:2;52;985.452;318.301;28.5;0.629783;0.0333333;0.0104964;0.0228369;2.28369
12:3;52;985.405;318.286;28.5;0.629754;0.0333333;0.0104959;0.0228374;2.28374
12:4;52;985.34;318.265;28.5;0.629712;0.0333333;0.0104952;0.0228381;2.28381
12:5;52;985.256;318.238;28.5;0.629658;0.0333333;0.0104943;0.022839;2.2839
12:6;52;985.153;318.204;28.5;0.629593;0.0333333;0.0104932;0.0228401;2.28401
